SEQ,REG_CUSER,REG_SNO,AIR_TYPE,AIR_BUILD_NO,AIR_BUILD_DATE,AIR_AGE,REG_DATE,AIR_LIMIT_MAN,AIR_FLY_WEIGHT,REG_JANG,PROC_TYPE,PRJ_GBN
7,진에어,HL7562,B737-800,29983,00.09.15,18,00.10.11,189,79ton,인천국제공항,임차,국제항공운송사업
8,진에어,HL7563,B737-800,28636,01.01.02,18,01.01.29,189,79ton,김포공항,임차,국제항공운송사업
9,진에어,HL7564,B737-800,28638,01.01.13,18,01.02.08,189,79ton,인천국제공항,임차,국제항공운송사업
10,진에어,HL7565,B737-800,29984,01.04.26,18,01.05.22,189,78.997ton,김포공항,임차,국제항공운송사업
11,진에어,HL7733,B777-200,34206,05.05.09,14,05.06.29,393,292.56ton,인천국제공항,임차,국제항공운송사업
12,진에어,HL7734,B777-200,34207,05.07.06,13,05.07.28,393,292.56ton,인천국제공항,임차,국제항공운송사업
13,진에어,HL7743,B777-200,34208,06.08.03,12,06.08.29,393,292.56ton,인천국제공항,임차,국제항공운송사업
14,진에어,HL7750,B777-200,34209,07.05.09,12,07.05.10,393,292.56ton,김포공항,임차,국제항공운송사업
15,진에어,HL7786,B737-800,37163,09.06.18,10,09.07.15,147,79ton,김포공항,임차,국제항공운송사업
16,진에어,HL8224,B737-800,38822,11.06.25,7,11.07.19,138,74.4ton,제주국제공항,임차,국제항공운송사업
17,진에어,HL8225,B737-800,38823,11.10.05,7,11.11.07,138,74.4ton,인천국제공항,임차,국제항공운송사업
18,진에어,HL8242,B737-800,38824,11.12.19,7,12.01.23,138,79ton,청주국제공항,임차,국제항공운송사업
19,진에어,HL8243,B737-800,38825,12.01.31,7,12.02.17,138,79ton,청주국제공항,임차,국제항공운송사업
20,진에어,HL8244,B737-800,38826,12.02.13,7,12.03.02,138,79ton,청주국제공항,임차,국제항공운송사업
21,진에어,HL8012,B737-800,41348,15.07.14,3,15.07.27,189,79ton,김포공항,임차,국제항공운송사업
22,진에어,HL8013,B737-800,41346,15.08.31,3,15.09.11,189,79ton,김포공항,임차,국제항공운송사업
