종목명,국가,시장구분,산업분류,2019-07-01,2019-07-02,2019-07-03,2019-07-04,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19,2019-07-22
신흥,일본,코스피,유통업,0,0,0,0,0.5,0.5,0,0,0,1.5,0.5,0,0.5,0,0,0.5
아비코전자,일본,코스닥,일반전기전자,0,0.2,3.16,1.94,1.33,-0.71,-2.14,-1.53,-2.96,-2.14,-2.34,1.63,9.28,7.03,8.46,14.98
아이센스,일본,코스닥,의료·정밀기기,0,-0.41,0,-1.23,0.41,2.88,5.56,5.56,5.56,5.14,2.06,2.67,2.88,2.06,3.7,3.7
아이텍,일본,코스닥,IT H/W,0,-0.73,3.28,3.65,8.39,5.84,6.2,9.49,9.49,11.31,-1.46,0,1.82,4.01,0.73,-3.65
안트로젠,일본,코스닥,유통,0,-0.21,-0.1,-3.97,1.04,-3.86,-7.72,-6.05,-3.97,-3.34,-6.47,-5.01,2.19,-4.28,-2.4,-4.18
알서포트,일본,코스닥,IT S/W & SVC,0,2.46,-3.81,-2.34,-6.77,-6.64,-2.46,-0.74,-1.72,0.37,-1.11,-10.82,-10.33,-8.98,-6.15,-6.89
알테오젠,일본,코스닥,기타서비스,0,-5.98,-10.01,-12.93,-8.76,-18.22,-17.8,-14.05,-11.27,-12.93,-13.77,-9.6,-10.15,-9.04,-8.76,-7.02
애경유화,일본,코스피,화학,0,0.76,1.26,0.76,1.89,-1.39,-3.54,-3.03,0.51,0.63,0.51,1.77,1.14,1.26,2.53,5.56
액트,일본,코스닥,IT H/W,0,9.9,7.95,11.58,11.58,12.41,15.48,14.09,17.15,24.83,21.9,24.41,24.41,23.99,28.03,29.01
에스씨디,일본,코스닥,일반전기전자,0,-0.96,-1.29,-3.54,-1.29,-8.36,-12.86,-13.5,-9.32,-7.72,-9.65,-11.25,-15.11,-15.43,-14.47,-13.18
에스에프씨,일본,코스닥,화학,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
